top-left-square,top-middle-square,top-right-square,middle-left-square,middle-middle-square,middle-right-square,bottom-left-square,bottom-middle-square,bottom-right-square,result
x,x,x,x,o,o,x,o,o,1
x,x,x,x,o,o,o,x,o,1
x,x,x,x,o,o,o,o,x,1
x,x,x,x,o,o,o,b,b,1
x,x,x,x,o,o,b,o,b,1
x,x,x,x,o,o,b,b,o,1
x,x,x,x,o,b,o,o,b,1
x,x,x,x,o,b,o,b,o,1
x,x,x,x,o,b,b,o,o,1
x,x,x,x,b,o,o,o,b,1
x,x,x,x,b,o,o,b,o,1
x,x,x,x,b,o,b,o,o,1
x,x,x,o,x,o,x,o,o,1
x,x,x,o,x,o,o,x,o,1
x,x,x,o,x,o,o,o,x,1
x,x,x,o,x,o,o,b,b,1
x,x,x,o,x,o,b,o,b,1
x,x,x,o,x,o,b,b,o,1
x,x,x,o,x,b,o,o,b,1
x,x,x,o,x,b,o,b,o,1
x,x,x,o,x,b,b,o,o,1
x,x,x,o,o,x,x,o,o,1
x,x,x,o,o,x,o,x,o,1
x,x,x,o,o,x,o,o,x,1
x,x,x,o,o,x,o,b,b,1
x,x,x,o,o,x,b,o,b,1
x,x,x,o,o,x,b,b,o,1
x,x,x,o,o,b,x,o,b,1
x,x,x,o,o,b,x,b,o,1
x,x,x,o,o,b,o,x,b,1
x,x,x,o,o,b,o,b,x,1
x,x,x,o,o,b,b,x,o,1
x,x,x,o,o,b,b,o,x,1
x,x,x,o,o,b,b,b,b,1
x,x,x,o,b,x,o,o,b,1
x,x,x,o,b,x,o,b,o,1
x,x,x,o,b,x,b,o,o,1
x,x,x,o,b,o,x,o,b,1
x,x,x,o,b,o,x,b,o,1
x,x,x,o,b,o,o,x,b,1
x,x,x,o,b,o,o,b,x,1
x,x,x,o,b,o,b,x,o,1
x,x,x,o,b,o,b,o,x,1
x,x,x,o,b,o,b,b,b,1
x,x,x,o,b,b,x,o,o,1
x,x,x,o,b,b,o,x,o,1
x,x,x,o,b,b,o,o,x,1
x,x,x,o,b,b,o,b,b,1
x,x,x,o,b,b,b,o,b,1
x,x,x,o,b,b,b,b,o,1
x,x,x,b,x,o,o,o,b,1
x,x,x,b,x,o,o,b,o,1
x,x,x,b,x,o,b,o,o,1
x,x,x,b,o,x,o,o,b,1
